Landmark,Y
0,0.563526869
1,0.53712219
2,0.492488563
3,0.450378299
4,0.417255282
5,0.455225706
6,0.399535537
7,0.360211343
8,0.331123441
9,0.463138491
10,0.424707323
11,0.421292424
12,0.421864092
13,0.477072239
14,0.45621866
15,0.455361545
16,0.452122867
17,0.494762331
18,0.476257145
19,0.475489765
20,0.475906551
0,0.583060622
1,0.561341703
2,0.503961086
3,0.450259149
4,0.406811893
5,0.451261312
6,0.391774386
7,0.352226287
8,0.319632709
9,0.457585514
10,0.417678624
11,0.447878957
12,0.463335246
13,0.473088264
14,0.452182144
15,0.486751646
16,0.496482134
17,0.490544051
18,0.478995532
19,0.505026877
20,0.517141402
0,0.612583518
1,0.582729459
2,0.511494577
3,0.453059822
4,0.406411588
5,0.457388133
6,0.392955035
7,0.350600123
8,0.314083219
9,0.467916012
10,0.419772178
11,0.440119565
12,0.446728528
13,0.48831591
14,0.454013824
15,0.498143613
16,0.509854257
17,0.511749089
18,0.490386218
19,0.523492038
20,0.536524713
0,0.54716599
1,0.52774471
2,0.481936663
3,0.439662099
4,0.40056929
5,0.442378342
6,0.388155669
7,0.348526835
8,0.320414245
9,0.451373339
10,0.413040221
11,0.412154287
12,0.417114139
13,0.468151271
14,0.442830265
15,0.447063863
16,0.45122996
17,0.488724053
18,0.47030881
19,0.474522889
20,0.481454998
0,0.628800631
1,0.573856294
2,0.505897641
3,0.449883372
4,0.400538862
5,0.463834852
6,0.398965448
7,0.353400677
8,0.316966653
9,0.47576192
10,0.424830049
11,0.405443072
12,0.390456319
13,0.497656405
14,0.448718339
15,0.468622863
16,0.482083797
17,0.52052933
18,0.490606874
19,0.508806169
20,0.525144637
0,0.575463235
1,0.556942642
2,0.497672319
3,0.443502486
4,0.398346961
5,0.442668915
6,0.384957284
7,0.344060004
8,0.312064409
9,0.450163394
10,0.403166503
11,0.419900954
12,0.420848101
13,0.46857655
14,0.438041836
15,0.473354667
16,0.482193053
17,0.491506815
18,0.477112979
19,0.505870342
20,0.51733005
0,0.619880319
1,0.564406931
2,0.501603961
3,0.446465135
4,0.396803379
5,0.455851138
6,0.387692422
7,0.344463229
8,0.308802843
9,0.467993617
10,0.415215701
11,0.410569251
12,0.413785994
13,0.485899448
14,0.443486154
15,0.47366634
16,0.496379286
17,0.502437949
18,0.475893348
19,0.499310702
20,0.519022822
0,0.608853221
1,0.556868076
2,0.490465671
3,0.432459027
4,0.384391546
5,0.442498326
6,0.378430575
7,0.336099327
8,0.302590042
9,0.453923821
10,0.400538921
11,0.408022225
12,0.416742265
13,0.473433852
14,0.43120423
15,0.464436233
16,0.48490262
17,0.493133724
18,0.464900821
19,0.489294291
20,0.506895304
0,0.536336839
1,0.51527679
2,0.468717963
3,0.425380528
4,0.386944562
5,0.429820329
6,0.375066221
7,0.33663699
8,0.307901204
9,0.439583421
10,0.403809249
11,0.406594276
12,0.405838847
13,0.457875311
14,0.43830952
15,0.445094764
16,0.439776421
17,0.480208129
18,0.472725719
19,0.478839338
20,0.477377117
0,0.608429193
1,0.555589557
2,0.491525471
3,0.436407954
4,0.387944221
5,0.444449067
6,0.37727803
7,0.334163666
8,0.299033225
9,0.457414508
10,0.406354189
11,0.407407492
12,0.413342088
13,0.476590067
14,0.433924466
15,0.460103989
16,0.477665752
17,0.497033119
18,0.469338834
19,0.490286052
20,0.509167135
0,0.572511435
1,0.551442087
2,0.489049107
3,0.433507055
4,0.385801554
5,0.433597654
6,0.376924753
7,0.338220537
8,0.305136621
9,0.442983538
10,0.399115384
11,0.427476674
12,0.43341127
13,0.462403148
14,0.429948896
15,0.472158641
16,0.481390893
17,0.486186355
18,0.46960181
19,0.499750257
20,0.509280801
0,0.611682057
1,0.560403824
2,0.498824358
3,0.443635285
4,0.392220855
5,0.450108409
6,0.380786926
7,0.335874557
8,0.299129218
9,0.460308403
10,0.406045794
11,0.393958926
12,0.389088869
13,0.477093428
14,0.430894226
15,0.445111305
16,0.45579803
17,0.495818675
18,0.468758672
19,0.484612823
20,0.502106667
0,0.610768735
1,0.560435057
2,0.495993614
3,0.440237105
4,0.391302466
5,0.448460191
6,0.380397022
7,0.336437285
8,0.299788237
9,0.458847791
10,0.403127015
11,0.400248051
12,0.403669804
13,0.476487637
14,0.429825336
15,0.453565001
16,0.471837521
17,0.496943057
18,0.466436386
19,0.48622185
20,0.506912172
0,0.543290675
1,0.521838903
2,0.473715663
3,0.428141743
4,0.387851477
5,0.43536818
6,0.383229852
7,0.343869984
8,0.315211952
9,0.443789274
10,0.40692392
11,0.410144567
12,0.411977023
13,0.46110937
14,0.43888244
15,0.449516267
16,0.449941576
17,0.482815295
18,0.471381456
19,0.481175989
20,0.485398799
0,0.611354172
1,0.55762285
2,0.495942235
3,0.441490084
4,0.392743856
5,0.449845552
6,0.382328063
7,0.337537467
8,0.302278429
9,0.459850281
10,0.403213203
11,0.38424775
12,0.37109226
13,0.476050735
14,0.428521633
15,0.438946038
16,0.445966572
17,0.493774831
18,0.46679163
19,0.479964554
20,0.494717509
0,0.578854918
1,0.554353535
2,0.49062404
3,0.434478372
4,0.385469496
5,0.440415263
6,0.38139531
7,0.3398709
8,0.304429412
9,0.448408246
10,0.397245735
11,0.416401178
12,0.414925516
13,0.46693176
14,0.43179214
15,0.475868464
16,0.484614968
17,0.489580721
18,0.468821049
19,0.501607597
20,0.510938823
0,0.611724734
1,0.561879992
2,0.497044504
3,0.440303743
4,0.390322983
5,0.447244197
6,0.379097432
7,0.335996151
8,0.298989058
9,0.458503366
10,0.404126585
11,0.410023272
12,0.419822901
13,0.476714402
14,0.431069613
15,0.46128878
16,0.483046889
17,0.497981429
18,0.467617601
19,0.49208504
20,0.513791203
0,0.611230016
1,0.557944417
2,0.493940264
3,0.437438399
4,0.387892425
5,0.447303832
6,0.381152809
7,0.336717606
8,0.301979452
9,0.456634969
10,0.397526413
11,0.372054726
12,0.351438642
13,0.473800689
14,0.42566368
15,0.447047651
16,0.461808026
17,0.492594332
18,0.463741958
19,0.482999623
20,0.502540946
0,0.538527966
1,0.518179715
2,0.47253269
3,0.428955406
4,0.388740897
5,0.435224235
6,0.379823983
7,0.339188218
8,0.30933252
9,0.442832619
10,0.404071271
11,0.406404138
12,0.409145802
13,0.458450079
14,0.436474651
15,0.445350975
16,0.445711374
17,0.477539897
18,0.466555983
19,0.474400312
20,0.477672398
0,0.608924747
1,0.562887609
2,0.496896297
3,0.439685762
4,0.38977924
5,0.442594677
6,0.375739157
7,0.334187031
8,0.298270673
9,0.453522116
10,0.401862741
11,0.411266625
12,0.422573328
13,0.472597092
14,0.430753291
15,0.464455277
16,0.4856686
17,0.495211005
18,0.466581643
19,0.493213952
20,0.514672756
0,0.569094896
1,0.551847041
2,0.488812894
3,0.432499975
4,0.387361586
5,0.434481204
6,0.374833316
7,0.336761951
8,0.302051067
9,0.439985484
10,0.394398659
11,0.430957556
12,0.439022332
13,0.457209229
14,0.423834503
15,0.471723288
16,0.482553661
17,0.480701178
18,0.462760687
19,0.496904939
20,0.508239985
0,0.60833478
1,0.555342257
2,0.489739835
3,0.432954103
4,0.384525478
5,0.443307191
6,0.376934946
7,0.333263844
8,0.297665954
9,0.455555916
10,0.405702472
11,0.403684527
12,0.405727923
