Landmark,Y
0,0.566783667
1,0.558909714
2,0.537231803
3,0.51803118
4,0.509908795
5,0.455713719
6,0.396404207
7,0.356206119
8,0.328033179
9,0.45418337
10,0.394222885
11,0.353756845
12,0.322324336
13,0.470157117
14,0.42749697
15,0.395055532
16,0.368268251
17,0.496453643
18,0.490380734
19,0.496489614
20,0.502274334
0,0.58717531
1,0.578390479
2,0.550645947
3,0.523187876
4,0.498861611
5,0.463792682
6,0.389809549
7,0.341704994
8,0.299410969
9,0.461458236
10,0.388617665
11,0.340396225
12,0.299260587
13,0.478894353
14,0.42225045
15,0.387071967
16,0.355043173
17,0.507772386
18,0.489796162
19,0.503937066
20,0.518319666
0,0.619932055
1,0.601679921
2,0.561155915
3,0.529178798
4,0.502991974
5,0.465489864
6,0.38928628
7,0.341114283
8,0.301395893
9,0.466568142
10,0.390200615
11,0.341768503
12,0.303209424
13,0.487496197
14,0.426184177
15,0.389045537
16,0.356499612
17,0.518877804
18,0.498983473
19,0.510223925
20,0.522833407
0,0.651578903
1,0.6205194
2,0.562887549
3,0.526593029
4,0.498955935
5,0.465947062
6,0.384721518
7,0.334400982
8,0.291245282
9,0.467290044
10,0.385241449
11,0.333263576
12,0.293120563
13,0.488451004
14,0.419644654
15,0.379885465
16,0.340463787
17,0.52209574
18,0.500788927
19,0.521722734
20,0.53980422
0,0.563674629
1,0.560305774
2,0.537832737
3,0.519108474
4,0.503022313
5,0.454005778
6,0.390297949
7,0.345589966
8,0.312421232
9,0.448706329
10,0.380671442
11,0.334080935
12,0.294611394
13,0.461604893
14,0.422497004
15,0.407127112
16,0.391271323
17,0.481658012
18,0.474816173
19,0.479570389
20,0.481787533
0,0.662476003
1,0.621623993
2,0.56292206
3,0.528215766
4,0.500923336
5,0.463062435
6,0.378430575
7,0.327936739
8,0.285466105
9,0.464001685
10,0.378436208
11,0.326283932
12,0.286381423
13,0.485156655
14,0.416230023
15,0.376382262
16,0.336596072
17,0.518721938
18,0.500923574
19,0.523717403
20,0.543451905
0,0.584511638
1,0.579186559
2,0.553658724
3,0.527153432
4,0.50155288
5,0.458765715
6,0.386262625
7,0.338490248
8,0.29595381
9,0.454931498
10,0.381838441
11,0.332539678
12,0.289106965
13,0.471395522
14,0.415127695
15,0.379028559
16,0.346065849
17,0.498357505
